Order_ID,Order_Date,Region,Country,City,Product_Category,Product_Name,Sales_Representative,Customer_Type,Quantity,Unit_Price,Sales_Amount,Cost_Amount,Profit
1001,2025-03-13,North,India,Delhi,Electronics,Laptop,Priya Mehta,Corporate,9,55000,495000,308616.44,186383.56
1002,2025-09-16,North,India,Delhi,Electronics,Laptop,Neha Gupta,Corporate,3,55000,165000,101572.58,63427.42
1003,2025-01-04,South,India,Bengaluru,Furniture,Office Chair,Karan Patel,Corporate,19,5000,95000,60178.44,34821.56
1004,2025-06-22,East,India,Kolkata,Electronics,Smartphone,Priya Mehta,Corporate,7,30000,210000,175804.42,34195.58
1005,2025-01-23,North,India,Chandigarh,Electronics,Tablet,Priya Mehta,Corporate,12,20000,240000,175468.27,64531.73
1006,2025-11-13,North,India,Chandigarh,Furniture,Desk,Neha Gupta,Retail,10,15000,150000,119823.21,30176.79
1007,2025-02-10,North,India,Delhi,Furniture,Conference Table,Priya Mehta,Corporate,8,40000,320000,250214.56,69785.44
1008,2025-07-01,East,India,Kolkata,Furniture,Office Chair,Vikram Singh,Retail,12,5000,60000,35927.77,24072.23
1009,2025-07-14,South,India,Chennai,Furniture,Desk,Neha Gupta,Corporate,8,15000,120000,71882.49,48117.51
1010,2025-07-25,North,India,Chandigarh,Electronics,Smartphone,Priya Mehta,Retail,2,30000,60000,47490.82,12509.18
1011,2025-11-26,East,India,Bhubaneswar,Electronics,Smartphone,Rahul Nair,Corporate,16,30000,480000,320970.99,159029.01
1012,2025-10-27,South,India,Chennai,Electronics,Smartphone,Karan Patel,Corporate,18,30000,540000,384314.32,155685.68
1013,2025-01-25,South,India,Bengaluru,Electronics,Smartphone,Rahul Nair,Retail,17,30000,510000,356007.92,153992.08
1014,2025-11-02,West,India,Pune,Furniture,Desk,Vikram Singh,Retail,3,15000,45000,29944.36,15055.64
1015,2025-11-25,North,India,Chandigarh,Furniture,Conference Table,Priya Mehta,Corporate,18,40000,720000,558189.6,161810.4
1016,2025-05-15,West,India,Mumbai,Electronics,Smartphone,Priya Mehta,Corporate,15,30000,450000,247938.12,202061.88
1017,2025-10-04,South,India,Bengaluru,Electronics,Smartphone,Ananya Rao,Corporate,12,30000,360000,280351.17,79648.83
1018,2025-06-07,North,India,Delhi,Electronics,Laptop,Amit Sharma,Retail,12,55000,660000,536986.93,123013.07
1019,2025-09-30,North,India,Delhi,Electronics,Laptop,Rahul Nair,Corporate,16,55000,880000,699430.14,180569.86
1020,2025-08-05,South,India,Bengaluru,Electronics,Tablet,Neha Gupta,Corporate,17,20000,340000,275988.17,64011.83
1021,2025-09-22,West,India,Pune,Furniture,Conference Table,Priya Mehta,Retail,12,40000,480000,327086.41,152913.59
1022,2025-10-11,South,India,Bengaluru,Electronics,Laptop,Neha Gupta,Retail,11,55000,605000,336567.72,268432.28
1023,2025-01-17,North,India,Chandigarh,Furniture,Conference Table,Priya Mehta,Retail,2,40000,80000,49494.6,30505.4
